FragmentID	PGF.NH	COX.NH	CIGAR	NM	XG
WTCHG_18627:2:100:12546:20758	1	1	S	0	A0
WTCHG_18627:2:100:12556:10322	1	1	S	0	A0
WTCHG_18627:2:100:1256:12830	1	1	S	0	A0
WTCHG_18627:2:100:12591:10234	1	1	S	0	A0
WTCHG_18627:2:100:12591:5153	1	1	S	0	A0
WTCHG_18627:2:100:12615:3679	1	1	S	0	A0
WTCHG_18627:2:100:12625:14656	1	1	S	0	A0
WTCHG_18627:2:100:12627:1738	1	1	S	0	A0
WTCHG_18627:2:100:12658:14377	1	1	S	0	A0
WTCHG_18627:2:100:12659:8241	1	1	S	0	A0
WTCHG_18627:2:100:12662:1491	1	1	S	0	A0
WTCHG_18627:2:100:12677:20852	1	1	S	0	A0
WTCHG_18627:2:100:12684:17622	1	1	S	0	A0
WTCHG_18627:2:100:12696:21390	1	1	S	0	A0
WTCHG_18627:2:100:12698:20056	1	1	S	0	A0
WTCHG_18627:2:100:12711:20376	1	1	S	0	A0
WTCHG_18627:2:100:12718:8586	1	1	S	0	A0
WTCHG_18627:2:100:12719:10311	1	1	S	0	A0
WTCHG_18627:2:100:12723:16177	1	1	S	0	A0
WTCHG_18627:2:100:1272:7132	1	1	S	0	A0
WTCHG_18627:2:100:12742:18433	1	1	S	0	A0
WTCHG_18627:2:100:12763:18426	1	1	S	0	A0
WTCHG_18627:2:100:12769:18234	1	1	S	0	A0
WTCHG_18627:2:100:12775:12581	1	1	S	0	A0
WTCHG_18627:2:100:12785:21234	1	1	S	0	A0
WTCHG_18627:2:100:1278:7315	1	1	S	0	A0
WTCHG_18627:2:100:12795:5152	1	1	S	0	A0
WTCHG_18627:2:100:12805:8238	1	1	S	0	A0
WTCHG_18627:2:100:12806:13598	1	1	S	0	A0
WTCHG_18627:2:100:12811:14939	1	1	S	0	A0
WTCHG_18627:2:100:12827:20875	1	1	S	0	A0
WTCHG_18627:2:100:12837:7253	1	1	S	0	A0
WTCHG_18627:2:100:1283:10827	1	1	S	0	A0
WTCHG_18627:2:100:12856:16906	1	1	S	0	A0
WTCHG_18627:2:100:12862:2195	1	1	S	0	A0
WTCHG_18627:2:100:12863:9748	1	1	S	0	A0
WTCHG_18627:2:100:12873:11836	1	1	S	0	A0
WTCHG_18627:2:100:12874:7657	1	1	S	0	A0
WTCHG_18627:2:100:12878:14771	1	1	S	0	A0
WTCHG_18627:2:100:12887:9684	1	1	S	0	A0
WTCHG_18627:2:100:12891:8382	1	1	S	0	A0
WTCHG_18627:2:100:12891:9395	1	1	S	0	A0
WTCHG_18627:2:100:1289:14164	1	1	S	0	A0
WTCHG_18627:2:100:12914:19830	1	1	S	0	A0
WTCHG_18627:2:100:12923:5271	1	1	S	0	A0
WTCHG_18627:2:100:12924:16354	1	1	S	0	A0
WTCHG_18627:2:100:12957:1102	1	1	S	0	A0
WTCHG_18627:2:100:12971:9383	1	1	S	0	A0
WTCHG_18627:2:100:12975:4509	1	1	S	0	A0
WTCHG_18627:2:100:1298:5586	1	1	S	0	A0
WTCHG_18627:2:100:12993:8954	1	1	S	0	A0
WTCHG_18627:2:100:12994:8512	1	1	S	0	A0
WTCHG_18627:2:100:12996:15739	1	1	S	0	A0
WTCHG_18627:2:100:1299:20723	1	1	S	0	A0
WTCHG_18627:2:100:13013:9217	1	1	S	0	A0
WTCHG_18627:2:100:13017:7714	1	1	S	0	A0
WTCHG_18627:2:100:13050:15908	1	1	S	0	A0
WTCHG_18627:2:100:13053:11339	1	1	S	0	A0
WTCHG_18627:2:100:13074:8542	1	1	S	0	A0
WTCHG_18627:2:100:13078:3077	1	1	S	0	A0
WTCHG_18627:2:100:13102:20645	1	1	S	0	A0
WTCHG_18627:2:100:13114:17067	1	1	S	0	A0
WTCHG_18627:2:100:13129:2854	1	1	S	0	A0
WTCHG_18627:2:100:1312:13088	1	1	S	0	A0
WTCHG_18627:2:100:13135:17883	1	1	S	0	A0
WTCHG_18627:2:100:13138:7096	1	1	S	0	A0
WTCHG_18627:2:100:13152:10913	1	1	S	0	A0
WTCHG_18627:2:100:13157:4564	1	1	S	0	A0
WTCHG_18627:2:100:1316:2392	1	1	S	0	A0
WTCHG_18627:2:100:13180:4276	1	1	S	0	A0
WTCHG_18627:2:100:13215:18419	1	1	S	0	A0
WTCHG_18627:2:100:13237:18303	1	1	S	0	A0
WTCHG_18627:2:100:13242:12540	1	1	S	0	A0
WTCHG_18627:2:100:13247:15184	1	1	S	0	A0
WTCHG_18627:2:100:13247:19693	1	1	S	0	A0
WTCHG_18627:2:100:13248:3834	1	1	S	0	A0
WTCHG_18627:2:100:13253:10129	1	1	S	0	A0
WTCHG_18627:2:100:13256:5526	1	1	S	0	A0
WTCHG_18627:2:100:13264:17779	1	1	S	0	A0
WTCHG_18627:2:100:13272:12323	1	1	S	0	A0
WTCHG_18627:2:100:13275:3718	1	1	S	0	A0
WTCHG_18627:2:100:13285:7021	1	1	S	0	A0
WTCHG_18627:2:100:1328:16980	1	1	S	0	A0
WTCHG_18627:2:100:1329:17471	1	1	S	0	A0
WTCHG_18627:2:100:13310:17150	1	1	S	0	A0
WTCHG_18627:2:100:13379:11595	1	1	S	0	A0
WTCHG_18627:2:100:13383:19297	1	1	S	0	A0
WTCHG_18627:2:100:13388:14210	1	1	S	0	A0
WTCHG_18627:2:100:13389:2753	1	1	S	0	A0
WTCHG_18627:2:100:13389:3009	1	1	S	0	A0
WTCHG_18627:2:100:13401:11230	1	1	S	0	A0
WTCHG_18627:2:100:13405:8704	1	1	S	0	A0
WTCHG_18627:2:100:1341:16128	1	1	S	0	A0
WTCHG_18627:2:100:13440:6516	1	1	S	0	A0
WTCHG_18627:2:100:13447:21333	1	1	S	0	A0
WTCHG_18627:2:100:13447:9552	1	1	S	0	A0
WTCHG_18627:2:100:1346:8842	1	1	S	0	A0
WTCHG_18627:2:100:13475:6199	1	1	S	0	A0
WTCHG_18627:2:100:13478:7124	1	1	S	0	A0
WTCHG_18627:2:100:1348:16732	1	1	S	0	A0
WTCHG_18627:2:100:13499:2807	1	1	S	0	A0
WTCHG_18627:2:100:13528:20671	1	1	S	0	A0
WTCHG_18627:2:100:13531:19578	1	1	S	0	A0
WTCHG_18627:2:100:13538:4603	1	1	S	0	A0
WTCHG_18627:2:100:1353:3655	1	1	S	0	A0
WTCHG_18627:2:100:13544:13898	1	1	S	0	A0
WTCHG_18627:2:100:13544:17678	1	1	S	0	A0
WTCHG_18627:2:100:1356:13752	1	1	S	0	A0
WTCHG_18627:2:100:1356:16759	1	1	S	0	A0
WTCHG_18627:2:100:13573:18947	1	1	S	0	A0
WTCHG_18627:2:100:13576:11933	1	1	S	0	A0
WTCHG_18627:2:100:13586:17550	1	1	S	0	A0
WTCHG_18627:2:100:13588:20392	1	1	S	0	A0
WTCHG_18627:2:100:13589:17437	1	1	S	0	A0
WTCHG_18627:2:100:13589:17584	1	1	S	0	A0
WTCHG_18627:2:100:13592:16894	1	1	S	0	A0
